,Name,dist_obj
32,53311,"['2012 XR157', '2013 JJ64']"
33,55565,[]
34,55636,[]
35,55637,[]
36,55638,"['120348', '145452', '145453', '174567', '469584', '470316', '470523', '487581', '2007 RX326', '2010 LP68', '2011 UE412', '2013 FZ27', '2013 PW74', '2014 DU143', '2014 WJ509']"
37,58534,[]
38,60454,['487581']
39,60620,[]
40,66452,[]
41,66652,[]
42,69986,"['487581', '1999 CL119']"
43,69987,"['79360', '468422', '1999 HS11', '2000 OH67', '2001 OG109', '2001 QW322', '2001 QX297', '2003 HZ56', '2003 QL91', '2003 YN179', '2003 YS179', '2003 YT179', '2005 GX186', '2012 XR157', '2013 JJ64', '2014 DD143']"
44,69990,['1999 CL119']
45,76803,"['134860', '420356', '469610', '1996 TK66', '1999 CH154', '1999 HV11', '2001 FK185', '2001 OG109', '2002 FW36', '2002 PD155', '2002 PV170', '2002 PY170', '2002 VT130', '2003 FA130', '2003 HG57', '2003 UN284', '2004 PU117', '2004 UD10', '2005 EM303', '2005 GD187', '2005 GX186', '2005 JP179', '2011 HZ102', '2012 DZ98', '2012 XR157', '2013 JV65', '2014 TD86', '2014 TW85', '2015 BU518']"
46,79360,"['2012 XR157', '2013 JJ64', '2014 WT69', '2015 FJ345']"
47,79969,"['118698', '470308', '491767', '1998 HO151', '1999 CQ133', '1999 OJ4', '1999 RX215', '2000 AF255', '2003 LD9', '2003 QN91', '2007 JF45', '2010 EL139', '2010 MQ116', '2010 TA192', '2011 UA411', '2011 UJ412', '2011 UK412', '2011 UN412', '2011 UX411', '2012 UN177', '2013 JB65', '2013 JD65', '2013 RB98', '2013 TH159', '2014 DJ143', '2015 BU518']"
48,79978,[]
49,79983,[]
50,80806,"['1999 HS11', '2000 GX146', '2000 OH67', '2001 QW322', '2003 HZ56', '2003 YN179', '2003 YS179', '2004 HG79', '2005 GX186', '2012 XR157', '2013 JJ64', '2014 DD143', '2015 AM281']"
51,82075,[]
52,82157,"['471196', '2000 QL251', '2012 XR157', '2013 HV156', '2015 BU518']"
53,84522,[]
54,84719,['487581']
55,84922,"['88268', '119066', '145452', '149348', '182222', '303712', '385191', '434194', '471196', '488644', '1994 EV3', '1995 DB2', '1997 CV29', '1998 FS144', '1998 WG24', '1999 CG154', '2000 CN105', '2001 DC106', '2001 FL185', '2002 CD251', '2002 FV6', '2003 HE57', '2003 UN292', '2003 UZ291', '2003 YJ179', '2004 KK19', '2005 BV49', '2005 EX297', '2005 JZ174', '2011 BS163', '2011 BV163', '2011 JX31', '2012 HE85', '2012 HL85', '2012 TF324', '2012 VR113', '2012 XR157', '2013 GB138', '2013 GC138', '2013 GQ137', '2013 GR137', '2013 GZ137', '2013 HV156', '2013 JM64', '2013 JQ65', '2013 JS64', '2013 JS65', '2013 JV65', '2014 JS80', '2014 QE442', '2014 QZ441', '2014 TA86', '2014 WN509', '2014 WO509', '2015 BU518']"
56,85627,['1999 CL119']
57,85633,"['2011 UF412', '2012 XR157', '2013 JJ64']"
58,86047,[]
59,86177,[]
60,88267,"['1999 HS11', '2000 GX146', '2000 OH67', '2003 YN179', '2004 HG79', '2005 GX186', '2012 XR157', '2013 JJ64']"
