,Name,dist_obj
26,47171,['2015 FJ345']
27,47932,"['49673', '52747', '53311', '55638', '76803', '82075', '82157', '86177', '88267', '88268', '90482', '119066', '119070', '119956', '119979', '120132', '120178', '120348', '126719', '127871', '131318', '131697', '137294', '139775', '143685', '143751', '143991', '149349', '160147', '168703', '181708', '181867', '181874', '182222', '182294', '182926', '182934', '202421', '208996', '230965', '306792', '307616', '385194', '385199', '385437', '385447', '385458', '385571', '385695', '386723', '437915', '444030', '469306', '469361', '469362', '469372', '469420', '469584', '469615', '469704', '470596', '487581', '488644', '491767', '1994 EV3', '1996 KV1', '1996 RQ20', '1997 RX9', '1998 HL151', '1998 HN151', '1998 UR43', '1998 WS31', '1998 WW31', '1999 CG154', '1999 CH119', '1999 CH154', '1999 CK158', '1999 CQ133', '1999 CU153', '1999 DA', '1999 HG12', '1999 HJ12', '1999 HS11', '1999 JD132', '1999 KR18', '1999 OA4', '1999 OC4', '1999 OD4', '1999 RK215', '1999 RW214', '2000 CE105', '2000 CF105', '2000 CG105', '2000 CL105', '2000 CN114', '2000 FF8', '2000 FG8', '2000 GV146', '2000 GX146', '2000 GY146', '2000 KK4', '2000 PA30', '2000 PC30', '2000 PU29', '2000 PW29', '2000 SY370', '2000 WN183', '2000 WT169', '2000 YF2', '2001 FL185', '2001 HZ58', '2001 KO77', '2001 KW76', '2001 OK108', '2001 OQ108', '2001 OZ108', '2001 PK47', '2001 QE298', '2001 QH298', '2001 QO297', '2001 QQ297', '2001 RW143', '2001 UN18', '2001 UP18', '2002 CT154', '2002 CU154', '2002 CY248', '2002 CZ154', '2002 FW36', '2002 GS32', '2002 GV32', '2002 GW32', '2002 GY32', '2002 VF131', '2002 VT130', '2003 FD128', '2003 FL127', '2003 FM127', '2003 HD57', '2003 HE57', '2003 QA112', '2003 QD91', '2003 QE112', '2003 QF91', '2003 QJ91', '2003 QO91', '2003 QR91', '2003 QT91', '2003 QX113', '2003 QX91', '2003 QZ111', '2003 SQ317', '2003 UN292', '2003 UT292', '2003 UV292', '2003 UY413', '2003 UZ291', '2003 WU188', '2003 YJ179', '2003 YK179', '2003 YL179', '2003 YM179', '2004 EV95', '2004 FU148', '2004 FW164', '2004 HX78', '2004 KB19', '2004 KE19', '2004 KH19', '2004 KJ19', '2004 MU8', '2004 OJ14', '2004 OP15', '2004 OQ15', '2004 PU117', '2004 PV117', '2004 PW107', '2004 PY107', '2004 UD10', '2004 US10', '2004 VC131', '2004 VZ75', '2005 CA79', '2005 CD81', '2005 CE81', '2005 EZ300', '2005 JH177', '2005 JJ186', '2005 JK186', '2005 JP179', '2005 JR179', '2005 PL21', '2005 SE278', '2005 TN74', '2005 TV189', '2006 AO98', '2006 CH69', '2006 TO130', '2006 WG206', '2007 CR79', '2007 FM51', '2007 FO51', '2007 PS45', '2007 RL314', '2007 RX326', '2007 RY326', '2007 TD418', '2007 TZ417', '2008 AQ118', '2009 DL143', '2010 AH2', '2010 JK124', '2010 MQ116', '2010 RE188', '2010 SS43', '2010 TE192', '2010 TF192', '2010 TJ182', '2010 TM182', '2010 TN182', '2010 VK201', '2010 VX224', '2011 HF103', '2011 JY31', '2011 UA412', '2011 UG412', '2011 UH411', '2011 UH412', '2011 UK411', '2011 UK412', '2011 UL412', '2011 UM411', '2011 US412', '2011 UT410', '2011 UW411', '2011 UZ411', '2011 VJ24', '2011 XJ4', '2012 HZ84', '2012 KW51', '2012 TC324', '2012 TE324', '2012 UN177', '2012 UO177', '2012 UT177', '2013 FR28', '2013 FZ27', '2013 GF137', '2013 GO137', '2013 GP137', '2013 GQ137', '2013 GT136', '2013 GT137', '2013 GU137', '2013 GX137', '2013 GY137', '2013 HW156', '2013 HZ156', '2013 JA65', '2013 JB65', '2013 JF65', '2013 JG65', '2013 JJ64', '2013 JM64', '2013 JR65', '2013 JS64', '2013 QO95', '2013 RP98', '2013 UF15', '2013 UM15', '2013 XB26', '2014 AL55', '2014 BZ57', '2014 CQ23', '2014 DJ143', '2014 DO143', '2014 EA52', '2014 FY71', '2014 FZ71', '2014 GE54', '2014 GJ54', '2014 GT53', '2014 GY53', '2014 HB200', '2014 HD200', '2014 HV199', '2014 JP80', '2014 JT80', '2014 LT28', '2014 MG70', '2014 MZ69', '2014 OB394', '2014 OH394', '2014 OJ394', '2014 OL394', '2014 OM394', '2014 OZ393', '2014 QX441', '2014 QZ441', '2014 RQ63', '2014 TA86', '2014 TC86', '2014 TE86', '2014 TX85', '2014 TZ85', '2014 UD225', '2014 UR224', '2014 UT224', '2014 WD509', '2014 WG509', '2014 WJ509', '2014 WK509', '2014 WW509', '2014 XR40', '2014 YA50', '2014 YB50', '2014 YG50', '2015 AJ281', '2015 AN281', '2015 BP518', '2015 BV518', '2015 FG345', '2015 FL345', '2015 FM345', '2015 FP345', '2015 FR345', '2015 GS50', '2015 PL312']"
28,48639,[]
29,49673,"['487581', '2015 FJ345']"
30,50000,[]
31,52747,"['487581', '1999 CL119', '2012 XR157', '2013 FQ28', '2014 JM80']"
32,53311,"['487581', '1999 CL119', '2012 XR157', '2013 FQ28', '2013 JJ64', '2014 JM80', '2015 FJ345']"
33,55565,['2015 FJ345']
34,55636,['2015 FJ345']
35,55637,['2015 FJ345']
36,55638,"['118378', '120348', '145452', '145453', '174567', '385199', '455206', '469584', '470316', '470523', '483002', '487581', '1999 HJ12', '2000 CG105', '2000 CL104', '2000 PX29', '2001 QF331', '2001 QQ322', '2003 QD91', '2003 QX91', '2003 TJ58', '2003 YL179', '2004 EP95', '2004 MT8', '2004 MU8', '2005 JH177', '2007 RX326', '2010 LP68', '2010 MQ116', '2011 UE412', '2012 HE85', '2012 HZ84', '2012 TC324', '2013 FZ27', '2013 GB138', '2013 JJ64', '2013 PW74', '2014 DU143', '2014 LT28', '2014 UQ224', '2014 WJ509']"
37,58534,['2015 FJ345']
38,60454,"['487581', '2015 FJ345']"
39,60620,"['2014 FZ71', '2015 FJ345']"
40,66452,['2015 FJ345']
41,66652,"['487581', '2013 FQ28', '2015 FJ345']"
42,69986,"['487581', '1999 CL119', '2012 XR157', '2013 FQ28', '2015 FJ345']"
43,69987,"['79360', '385199', '468422', '470443', '483002', '487581', '1998 KY61', '1999 HS11', '1999 RG215', '2000 CG105', '2000 GX146', '2000 GY146', '2000 OH67', '2000 WT169', '2000 WV12', '2001 KF76', '2001 OG109', '2001 OQ108', '2001 QR297', '2001 QW322', '2001 QX297', '2001 UP18', '2001 XX254', '2003 GF55', '2003 HZ56', '2003 QL91', '2003 QX90', '2003 UB292', '2003 YN179', '2003 YS179', '2003 YT179', '2004 HD79', '2004 HG79', '2005 GX186', '2006 CH69', '2010 FX86', '2010 TF192', '2011 UD412', '2011 UZ411', '2012 XR157', '2013 FQ28', '2013 JJ64', '2013 UN15', '2014 DD143', '2014 DN143', '2014 GZ53', '2014 UQ224', '2014 WA510', '2014 WT69', '2015 BV518', '2015 FJ345']"
44,69990,"['487581', '1999 CL119', '2013 FQ28', '2013 JJ64', '2014 JM80']"
